eduyrs,female,close_far_right,minority,father_citizen,father_secondary,years_to_reform
9,1,0,1,0,1,-33
13,0,0,1,0,NA,-14
13,1,0,1,0,1,0
13,0,0,1,0,1,12
10,1,0,1,0,NA,-37
10,0,0,1,0,1,-3
9,0,0,1,0,0,-34
13,0,0,1,0,1,-9
13,1,0,1,0,1,11
10,1,0,1,0,1,-10
9,0,0,1,0,1,-29
11,1,0,1,0,NA,-11
13,0,0,1,0,1,13
13,0,0,1,0,1,6
13,0,0,1,0,1,4
13,0,0,1,0,1,-16
13,1,0,1,0,1,17
13,0,0,1,0,1,-17
13,1,0,1,0,1,8
13,1,0,1,0,1,17
10,0,0,1,1,NA,12
13,0,0,1,0,1,12
13,0,0,1,0,1,9
13,0,0,1,0,1,-2
13,0,0,1,0,1,-10
11,0,0,1,0,1,16
11,1,0,1,0,1,-10
13,1,0,1,1,1,12
13,1,0,1,0,1,14
10,1,0,1,1,1,-3
